acinar stroma of prostatic gland,RID38924.Anatomy
peri-acinar stroma of prostatic gland,RID38925.Anatomy
stroma of peri-urethral zone of prostate,RID38914.Anatomy
stroma of internal zone of prostate,RID38915.Anatomy
intra-acinar stroma of prostatic gland,RID38926.Anatomy
periductal stroma of prostatic gland,RID38927.Anatomy
stroma of lobe of prostate,RID38916.Anatomy
stroma of peripheral zone of prostate,RID38910.Anatomy
stroma proper of peripheral zone of prostate,RID38911.Anatomy
interlobular stroma of prostate,RID38922.Anatomy
extralobular stroma of prostate,RID38923.Anatomy
stroma of central zone of prostate,RID38912.Anatomy
anterior fibromuscular stroma,RID344.Anatomy
basal part of anterior fibromuscular stroma of prostate,RID43497.Anatomy
middle part of anterior fibromuscular stroma of prostate,RID43498.Anatomy
apical part of anterior fibromuscular stroma of prostate,RID43499.Anatomy
stroma of left lateral lobe of prostate,RID38920.Anatomy
stroma of posterior lobe of prostate,RID38921.Anatomy
stroma of anterior lobe of prostate,RID38917.Anatomy
stroma of median lobe of prostate,RID38918.Anatomy
stroma of right lateral lobe of prostate,RID38919.Anatomy
inner gland of prostate,RID349.Anatomy
outer gland,RID345.Anatomy
area postrema,RID13851.Anatomy
supraoptic crest,RID13850.Anatomy
pineal gland,RID6576.Anatomy
subcommissural organ,RID6577.Anatomy
subfornical organ,RID7146.Anatomy
subdivision of cranial dura mater,RID13731.Anatomy
cranial dura mater,RID13730.Anatomy
subdivision of spinal dura mater,RID13748.Anatomy
spinal dura mater,RID13747.Anatomy
falx cerebelli,RID7097.Anatomy
tentorium cerebelli,RID7095.Anatomy
falx cerebri,RID7094.Anatomy
diaphragma sellae,RID7098.Anatomy
cerebral hemisphere segment of dura mater,RID13738.Anatomy
right half of cranial dura mater proper,RID13735.Anatomy
cerebellum segment proper of dura mater,RID13746.Anatomy
medulla segment of dura mater,RID13745.Anatomy
left half of tentorium cerebelli,RID13734.Anatomy
cerebral segment of dura mater,RID13737.Anatomy
left half of cranial dura mater proper,RID13736.Anatomy
metencephalon part of dura mater,RID13742.Anatomy
hindbrain segment of dura mater,RID13741.Anatomy
cerebellum segment of dura mater,RID13744.Anatomy
right half of tentorium cerebelli,RID13733.Anatomy
pons segment of dura mater,RID13743.Anatomy
cranial dura mater proper,RID13732.Anatomy
incisura tentorii,RID7096.Anatomy
left cerebral hemisphere segment of dura mater,RID13740.Anatomy
right cerebral hemisphere segment of dura mater,RID13739.Anatomy
coccygeal ligament,RID13753.Anatomy
filum terminale segment of spinal dura mater,RID13752.Anatomy
dura mater of root of spinal nerve,RID13755.Anatomy
spinal dura mater proper,RID13754.Anatomy
lumbar segment of spinal dura mater,RID13751.Anatomy
thoracic segment of spinal dura mater,RID13750.Anatomy
